name,price,status,shipping,free_returns,items_sold
"✅ Apple MacBook 12"" 2016-2017 Retina | m3/m5/m7/i5/i7 | 8-16GB | 256-512GB",25900,Pre-Owned,,False,
New ListingAPPLE MACBOOK PRO A1286 2.53 GHz i5 8GB RAM 1tb SSD,42500,Pre-Owned,,False,
New ListingApple MacBook Pro A1398 Retina i7 16GB RAM Laptop Notebook PC O15,12500,Pre-Owned,999,True,
Apple 2024 MacBook Pro 16-inch M4 Pro 24GB RAM 512GB SSD Space Black MX2X3LL/A,189900,Open Box,,True,
MacBook Pro 13 Touch Bar 2020 Intel Core i5 8GB 512GB 1.4 GHz Space Gray,34499,Good - Refurbished,,True,
APPLE MACBOOK PRO A2141 BTO/CTO | CORE I7-9750H | 512GB | 16GB RAM | SEQUOIA,40999,Pre-Owned,,True,
EXCELLENT Apple MacBook Air 13 PRE-RETINA INTEL CORE i7 8GB RAM 512GB SSD,33908,Very Good - Refurbished,,True,
"MacBook Pro 16"" Intel Core i7-9750H @ 2.6GHz 16GB RAM 512GB SSD - See Desc..",28900,Pre-Owned,,False,
"Apple MacBook Pro 15"" 1TB SSD 16GB RAM i7 Retina - Big Sur - 1 Year Warranty",39102,Pre-Owned,,True,
"13"" Apple MacBook Air Turbo 3.6Ghz SONOMA i5 8GB 256GB SSD A1932 w/ Warranty",37500,Pre-Owned,,True,
"Apple MacBook Core Intel M3 8GB RAM 256GB SSD 12"" MNYK2LL/A - Space Gray - See D",20100,Pre-Owned,,False,
"Apple MacBook Pro 13.3-Inch Intel Core i7 3.1GHz, 16GB Ram, 1TB SSD - Warranty",26900,Good - Refurbished,,True,
"Apple MacBook Pro 13.3-Inch Intel Core i7 3.1GHz, 16GB Ram, 512GB SSD - Warranty",23900,Good - Refurbished,,True,
"MAXED!! Apple MacBook Pro 15"" Retina i7 Laptop + TouchBar + 2024 OS + EXTRAS!",79800,Pre-Owned,,True,
"Apple MacBook Air 13"" M2 chip 16GB RAM 256GB SSD Midnight MC7X4LL/A 2022 Model",69900,Excellent - Refurbished,,True,
"Apple MacBook Pro M3 Pro 14.2"" 11-CoreCPU 14-CoreGPU 2023 512GB SSD 18GB RAM",117900,Very Good - Refurbished,,True,
"Apple MacBook 12"" - Core m3 | m5 | m7 - 8GB RAM - 256GB | 512GB SSD - Very Good",19945,Very Good - Refurbished,,True,
"Apple Macbook Pro 2019 Touchbar 16"" A2141 i9 2.4GHz 64GB RAM 1TB SSD MVVM2LL/A",66999,Good - Refurbished,,True,
"Apple MacBook Pro 15"" Retina / Quad Core i7 /16GB/256GB SSD HD. Big Sur. Grade C",17900,Pre-Owned,,True,
"Apple 13.3"" MacBook Air Core i5 1.6GHz 8GB RAM 256GB SSD MMGG2LL/A In Retail Box",35995,Open Box,1331,False,
"MAXED!! Apple MacBook Pro Retina 13"" + LOADED! + TouchBar + 2023 OS + EXTRAS!",64125,Pre-Owned,,True,
"MacBook Pro Retina 13-inch, Late 2013/Intel i5-2.4GHz/8GB-RAM/250GB w/Office!",10000,Pre-Owned,1995,False,
